Feature,Importance
slash_count,0.10800064332431
tld_is_common,0.10546388166857322
path_depth,0.10212792394517947
path_length,0.09573102585247674
path_entropy,0.07503804491053867
has_https,0.06824259782432893
url_special_char_ratio,0.05238588316013291
contains_login,0.03575922434240412
tld_length,0.03198933834169686
dots_count,0.03129415114340598
has_http,0.030592063821386087
digits_count,0.026707406016229392
url_length,0.02116198308768651
subdomain_length,0.02034054085072699
hyphens_count,0.01995125011609986
subdomain_entropy,0.018752208644530057
domain_length,0.01529935335581364
subdomain_depth,0.01516520538657161
url_entropy,0.012253742220258249
url_digit_ratio,0.011708025435076687
domain_entropy,0.011399689673788764
url_consecutive_digits,0.011372875889215293
url_uppercase_ratio,0.009156339473445843
query_length,0.007621816064177707
domain_digit_ratio,0.007552153403874843
query_entropy,0.007203562507003433
domain_consecutive_digits,0.006959018798092745
contains_paypal,0.00645007146228001
has_subdomain,0.00604651804342759
underscore_count,0.004763998215998611
domain_special_char_ratio,0.004059169638391927
equal_count,0.0026311096233726343
questionmark_count,0.0022768410630195765
contains_update,0.0021625759121948456
has_www,0.0021088085555266817
contains_secure,0.001887843433283317
query_param_count,0.0014884452953284773
has_query,0.001329162811927137
ampersand_count,0.0008904191255173543
percent_count,0.0008512698335585134
contains_account,0.000732048632729098
at_count,0.0005726436465289374
brand_edit_distance,0.0004963098307258979
has_decimal_ip,0.0004774585099901522
domain_has_ip_pattern,0.0003820125919568244
brand_impersonation,0.00037199508465341835
url_has_ip_pattern,0.00035242693574409086
contains_verify,0.00012851771266172922
contains_signin,0.00012827550873807572
domain_uppercase_ratio,8.272613026849949e-05
contains_confirm,7.823009088500845e-05
contains_banking,1.8061214882153113e-05
contains_password,3.1118393849380442e-06
